Table,Field,Type,Required,Default,Enum,Description,Example
order,order_id,string,YES,,"",统一订单ID（平台订单号或UUID）,"PDD202509220001"
order,platform,string,YES,,"pdd,taobao,jd,douyin,wx,manual",来源平台,"pdd"
order,shop_id,string,YES,,"",店铺ID（平台内标识）,"pdd_shop_001"
order,external_order_no,string,YES,,"",平台原始订单号（幂等键之一）,"230922-88990011"
order,status,string,YES,created,"created,paid,allocated,shipped,closed,cancelled,refunded,partial_refund",订单状态,"paid"
order,pay_status,string,YES,unpaid,"unpaid,paid,refunding,refunded,partial_refund",支付状态,"paid"
order,currency,string,NO,CNY,"",币种,"CNY"
order,amount_goods,decimal(18,2),YES,0.00,"",商品金额（不含运费）,"199.00"
order,amount_total,decimal(18,2),YES,0.00,"",应付总额,"185.00"
order,address_name,string,YES,,"",收件人姓名,"张三"
order,address_phone,string,YES,,"",收件人电话,"13800001111"
order,address_province,string,YES,,"",省,"北京市"
order,address_city,string,YES,,"",市,"北京市"
order,address_detail,string,YES,,"",详细地址,"酒仙桥路 10 号 3 层"
order_item,order_id,string,YES,,"",关联统一订单ID,"PDD202509220001"
order_item,line_no,int,YES,,"",行号,"1"
order_item,sku,string,YES,,"",内部SKU编码,"ML-MZZ-SP-SMY-2.5KG"
order_item,qty,int,YES,1,"",数量,"2"
order_item,price,decimal(18,2),YES,0.00,"",单价（未折扣）,"99.50"
order_item,amount,decimal(18,2),YES,0.00,"",行实付,"179.00"
